"HC","CO","NOX"
0.41,7.74,1.36
0.1,5.27,2.31
0.51,10.72,0.15
0.33,8.77,1.47
0.3,4.15,1.06
0.47,6.6,1.19
0.44,4.95,0.99
0.3,3.15,1.64
0.16,4.71,1.76
0.14,8.84,1.26
0.64,13.18,0.26
0.59,15.71,0.36
0.08,7.01,1.53
0.12,9.11,2.29
0.39,7.73,0.78
0.3,0.3,1.63
0.57,11.14,0.51
0.56,7.44,0.5
0.34,6.95,0.68
0.71,15.48,0.82
0.35,6.62,0.62
0.43,8.73,1.26
0.54,3.96,1.05
0.57,8.66,0.61
0.33,0.99,1.32
0.47,8.77,0.97
0.36,0.74,1.56
0.6,12.92,0.71
0.22,8.66,2.06
0.28,0.7,1.4
0.2,7.75,1.35
0.64,16.58,0.67
0.2,7.77,1.34
0.18,0.2,1.63
0.33,5.62,1.4
0.59,11.56,0.8
0.42,7.43,0.84
0.25,3.42,1.26
0.38,2.76,1.03
0.43,3.25,0.92
0.28,4.72,1.17
0.69,15.77,0.6
0.4,2.52,1.77
0.43,10.17,1.35
0.68,16.64,0.52
0.46,9.42,0.95
0.69,11.75,1.2
0.54,6.03,1.08
0.56,14.51,1.13
0.3,4.18,1.37
0.64,10.5,0.94
0.66,6.02,1.6
0.56,13.8,0.9
0.33,4.91,1
0.28,2.65,0.61
0.68,16.27,1.36
0.23,1.38,1.31
0.34,4.05,1.13
0.55,10.6,1.01
0.14,0.46,1.78
0.18,3.75,1.45
0.52,8.14,1.45
0.23,8.2,1.82
0.38,7.48,0.86
0.56,11.05,0.63
0.25,2.55,2.12
0.35,3.02,0.88
0.38,4.15,0.76
0.42,6.49,1.89
0.29,1.82,1.58
0.08,8.8,1.85
0.67,7.77,1.01
0.39,7.34,1.21
0.31,4.11,1.65
0.6,11.19,0.4
0.74,20.89,0.31
0.42,4.97,1.69
0.38,4.67,1.28
0.34,4.02,1.14
0.58,9.8,0.16
0.55,11.26,0.86
0.5,9.04,0.45
0.39,7.06,1.16
0.45,11.69,0.3
0.42,1.34,2.19
0.13,5.98,1.99
0.51,8.47,1.48
0.4,4.53,1.18
0.35,3.12,1.17
0.45,7.11,0.43
0.56,8.59,1.33
0.55,11.29,0.84
0.54,14.36,0.36
0.18,6.84,1.87
0.27,5.86,0.96
0.32,4.67,0.84
0.36,5.93,1.11
0.2,4.34,0.94
0.5,7.51,1.48
0.63,11.08,0.42
