"year","faculty","sex","survive","total"
1938,"M","M",15,28
1939,"M","M",17,22
1940,"M","M",10,17
1941,"M","M",15,19
1942,"M","M",37,62
1943,"M","M",12,18
1944,"M","M",18,30
1945,"M","M",13,20
1946,"M","M",28,34
1947,"M","M",26,38
1938,"A","M",17,30
1939,"A","M",13,19
1940,"A","M",8,17
1941,"A","M",7,15
1942,"A","M",9,16
1943,"A","M",8,9
1944,"A","M",9,13
1945,"A","M",6,10
1946,"A","M",0,0
1947,"A","M",13,24
1938,"S","M",5,10
1939,"S","M",2,2
1940,"S","M",18,23
1941,"S","M",11,12
1942,"S","M",22,29
1943,"S","M",14,21
1944,"S","M",23,30
1945,"S","M",23,35
1946,"S","M",6,8
1947,"S","M",21,26
1938,"E","M",12,16
1939,"E","M",6,11
1940,"E","M",8,11
1941,"E","M",6,8
1942,"E","M",7,7
1943,"E","M",1,2
1944,"E","M",19,26
1945,"E","M",21,29
1946,"E","M",0,0
1947,"E","M",26,35
1938,"A","F",22,28
1939,"A","F",10,16
1940,"A","F",6,14
1941,"A","F",13,16
1942,"A","F",7,8
1943,"A","F",11,13
1944,"A","F",21,24
1945,"A","F",18,22
1946,"A","F",3,3
1947,"A","F",17,24
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",6,7
1941,"S","F",1,2
1942,"S","F",2,2
1943,"S","F",10,11
1944,"S","F",4,4
1945,"S","F",20,25
1946,"S","F",2,2
1947,"S","F",9,10
